date,close,percentage_change,profit,company
2018-05-01,142.759995,,,unp
2018-06-01,141.679993,-0.007565,,unp
2018-07-01,149.889999,0.057948,,unp
2018-08-01,150.619995,0.004870,,unp
2018-09-01,162.830002,0.081065,"21,820,000,000",unp
2018-10-01,146.220001,-0.102008,"21,820,000,000",unp
2018-11-01,153.779999,0.051703,"21,820,000,000",unp
2018-12-01,138.229996,-0.101119,"21,820,000,000",unp
2019-01-01,159.070007,0.150763,,unp
2019-02-01,167.699997,0.054253,,unp
2019-03-01,167.199997,-0.002982,,unp
2019-04-01,177.039993,0.058852,,unp
2019-05-01,166.779999,-0.057953,,unp
2019-06-01,169.110001,0.013971,,unp
2019-07-01,179.949997,0.064100,,unp
2019-08-01,161.960007,-0.099972,,unp
2019-09-01,161.979996,0.000123,"22,393,000,000",unp
2019-10-01,165.460007,0.021484,"22,393,000,000",unp
2019-11-01,175.990005,0.063641,"22,393,000,000",unp
2019-12-01,180.789993,0.027274,"22,393,000,000",unp
2020-01-01,179.419998,-0.007578,,unp
2020-02-01,159.809998,-0.109297,,unp
2020-03-01,141.039993,-0.117452,,unp
2020-04-01,159.789993,0.132941,,unp
2020-05-01,169.860001,0.063020,,unp
2020-06-01,169.070007,-0.004651,,unp
2020-07-01,173.350006,0.025315,,unp
2020-08-01,192.440002,0.110124,,unp
2020-09-01,196.869995,0.023020,"19,746,000,000",unp
2020-10-01,177.190002,-0.099964,"19,746,000,000",unp
2020-11-01,204.080002,0.151758,"19,746,000,000",unp
2020-12-01,208.220001,0.020286,"19,746,000,000",unp
2021-01-01,197.470001,-0.051628,,unp
2021-02-01,205.960007,0.042994,,unp
2021-03-01,220.410004,0.070159,,unp
2021-04-01,222.089996,0.007622,,unp
2021-05-01,224.729996,0.011887,,unp
2021-06-01,219.929993,-0.021359,,unp
2021-07-01,218.759995,-0.005320,,unp
2021-08-01,216.839996,-0.008777,,unp
2021-09-01,196.009995,-0.096062,"25,052,000,000",unp
2021-10-01,241.399994,0.231570,"25,052,000,000",unp
2021-11-01,235.639999,-0.023861,"25,052,000,000",unp
2021-12-01,251.929993,0.069131,"25,052,000,000",unp
2022-01-01,244.550003,-0.029294,,unp
2022-02-01,245.949997,0.005725,,unp
2022-03-01,273.209991,0.110836,,unp
2022-04-01,234.289993,-0.142455,,unp
2022-05-01,219.779999,-0.061932,,unp
2022-06-01,213.279999,-0.029575,,unp
2022-07-01,227.300003,0.065735,,unp
2022-08-01,224.509995,-0.012275,,unp
2022-09-01,194.820007,-0.132244,"26,790,000,000",unp
2022-10-01,197.139999,0.011908,"26,790,000,000",unp
2022-11-01,217.429993,0.102922,"26,790,000,000",unp
2022-12-01,207.070007,-0.047647,"26,790,000,000",unp
2023-01-01,204.190002,-0.013908,,unp
2023-02-01,207.279999,0.015133,,unp
2023-03-01,201.259995,-0.029043,,unp
2023-04-01,195.880005,-0.026732,,unp
2018-05-01,191.529999,,,berkshire
2018-06-01,186.649994,-0.026145,,berkshire
2018-07-01,197.869995,0.056704,,berkshire
